TokenType            Value
=====                =====
READ                  read
IDENTIFIER               x
SEMICOLON                ;
COMMENT       {input an integer}
IF                      if
NUMBER                   0
LESS                     <
IDENTIFIER               x
THEN                  then
COMMENT       {don’t compute if x <= 0}
IDENTIFIER            fact
ASSIGNMENT              :=
NUMBER                   1
SEMICOLON                ;
REPEAT              repeat
IDENTIFIER            fact
ASSIGNMENT              :=
IDENTIFIER            fact
MULTIPLY                 *
IDENTIFIER               x
SEMICOLON                ;
IDENTIFIER               x
ASSIGNMENT              :=
IDENTIFIER               x
MINUS                    -
NUMBER                   1
UNTIL                until
IDENTIFIER               x
EQUALS                   =
NUMBER                   0
SEMICOLON                ;
WRITE                write
IDENTIFIER            fact
COMMENT       { output factorial of x }
END                    end
